metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
121            0.02220             0.00304             0.50000             1129.00000          11290.00000         384.00000           70.00000            
122            0.02433             0.00085             0.50000             1124.00000          11240.00000         368.00000           80.00000            
123            0.02436             0.00191             0.50000             1076.00000          10760.00000         404.00000           50.00000            
124            0.02670             0.00167             0.50000             1121.00000          11210.00000         415.00000           50.00000            
125            0.02519             0.00215             0.50000             1113.00000          11130.00000         434.00000           130.00000           
126            0.02077             0.00170             0.50000             1140.00000          11400.00000         377.00000           80.00000            
127            0.02135             0.00115             0.50000             1101.00000          11010.00000         388.00000           80.00000            
128            0.01988             0.00065             0.50000             1120.00000          11200.00000         371.00000           110.00000           
129            0.01975             0.00040             0.50000             1092.00000          10920.00000         349.00000           20.00000            
130            0.01971             0.00145             0.50000             1147.00000          11470.00000         363.00000           90.00000            
131            0.02006             0.00270             0.50000             1145.00000          11450.00000         361.00000           140.00000           
132            0.02044             0.00204             0.50000             1136.00000          11360.00000         376.00000           40.00000            
133            0.01731             0.00402             0.50000             1139.00000          11390.00000         396.00000           100.00000           
134            0.01873             0.00356             0.50000             1118.00000          11180.00000         378.00000           80.00000            
135            0.01396             0.00382             0.50000             1139.00000          11390.00000         340.00000           60.00000            
136            0.01413             0.00391             0.50000             1141.00000          11410.00000         359.00000           70.00000            
137            0.01323             0.00262             0.50000             1149.00000          11490.00000         345.00000           40.00000            
138            0.01314             0.00400             0.50000             1143.00000          11430.00000         369.00000           40.00000            
139            0.01475             0.00309             0.50000             1148.00000          11480.00000         385.00000           30.00000            
140            0.01297             0.00346             0.50000             1114.00000          11140.00000         417.00000           90.00000            
141            0.01188             0.00386             0.50000             1120.00000          11200.00000         345.00000           30.00000            
142            0.01371             0.00671             0.50000             1170.00000          11700.00000         350.00000           40.00000            
143            0.01449             0.00674             0.50000             1143.00000          11430.00000         351.00000           80.00000            
144            0.01998             0.00636             0.50000             1152.00000          11520.00000         357.00000           40.00000            
145            0.02288             0.00451             0.50000             1129.00000          11290.00000         393.00000           80.00000            
146            0.02263             0.00493             0.50000             1119.00000          11190.00000         312.00000           90.00000            
